"","x"
"1121","2"
"1122","17"
"1123","14"
"1124","2"
"1125","3"
"1126","3"
"1127","3"
"1128","5"
"1129","22"
"1130","3"
"1131","3"
"1132","21"
"1133","8"
"1134","8"
"1135","3"
"1136","4"
"1137","2"
"1138","2"
"1139","3"
"1140","4"
"1141","17"
"1142","0"
"1143","1"
"1144","9"
"1145","3"
"1146","1"
"1147","12"
"1148","8"
"1149","2"
"1150","0"
"1151","6"
"1152","0"
"1153","6"
"1154","16"
"1155","17"
"1156","5"
"1157","23"
"1158","19"
"1159","9"
"1160","5"
"1161","6"
"1162","5"
"1163","0"
"1164","18"
"1165","12"
"1166","8"
"1167","1"
"1168","10"
"1169","5"
"1170","1"
"1171","1"
"1172","1"
"1173","0"
"1174","5"
"1175","6"
"1176","16"
"1177","5"
"1178","0"
"1179","3"
"1180","11"
"1181","1"
"1182","17"
"1183","3"
"1184","2"
"1185","3"
"1186","19"
"1187","12"
"1188","10"
"1189","0"
"1190","8"
"1191","3"
"1192","7"
"1193","4"
"1194","4"
"1195","26"
"1196","2"
"1197","33"
"1198","15"
"1199","21"
"1200","15"
"1201","3"
"1202","1"
"1203","5"
"1204","6"
"1205","2"
"1206","5"
"1207","10"
"1208","4"
"1209","1"
"1210","15"
"1211","0"
"1212","20"
"1213","1"
"1214","3"
"1215","18"
"1216","2"
"1217","1"
"1218","24"
"1219","1"
"1220","1"
"1221","4"
"1222","3"
"1223","3"
"1224","1"
"1225","7"
"1226","0"
"1227","3"
"1228","1"
"1229","4"
"1230","6"
"1231","5"
"1232","12"
"1233","3"
"1234","29"
"1235","5"
"1236","12"
"1237","11"
"1238","0"
"1239","12"
"1240","4"
"1241","0"
"1242","12"
"1243","0"
"1244","0"
"1245","18"
"1246","11"
"1247","17"
"1248","0"
"1249","1"
"1250","29"
"1251","1"
"1252","1"
"1253","13"
"1254","4"
"1255","13"
"1256","3"
"1257","2"
"1258","34"
"1259","5"
"1260","1"
"1261","3"
"1262","5"
"1263","1"
"1264","10"
"1265","18"
"1266","7"
"1267","0"
"1268","6"
"1269","4"
"1270","23"
"1271","5"
"1272","25"
"1273","17"
"1274","1"
"1275","1"
"1276","1"
"1277","9"
"1278","4"
"1279","10"
"1280","3"
"1281","0"
"1282","12"
"1283","1"
"1284","1"
"1285","1"
"1286","20"
"1287","0"
"1288","4"
"1289","21"
"1290","3"
"1291","0"
"1292","17"
"1293","16"
"1294","0"
"1295","8"
"1296","9"
"1297","2"
"1298","8"
"1299","0"
"1300","4"
"1301","14"
"1302","16"
"1303","0"
"1304","8"
"1305","23"
"1306","2"
"1307","35"
"1308","13"
"1309","2"
"1310","0"
"1311","16"
"1312","0"
"1313","28"
"1314","8"
"1315","4"
"1316","5"
"1317","3"
"1318","5"
"1319","8"
"1320","19"
"1321","4"
"1322","2"
"1323","5"
"1324","0"
"1325","2"
"1326","14"
"1327","2"
"1328","4"
"1329","3"
"1330","1"
"1331","9"
"1332","20"
"1333","0"
"1334","4"
"1335","4"
"1336","4"
"1337","9"
"1338","10"
"1339","3"
"1340","3"
"1341","1"
"1342","6"
"1343","3"
"1344","2"
"1345","3"
"1346","2"
"1347","12"
"1348","11"
"1349","1"
"1350","24"
"1351","1"
"1352","6"
"1353","22"
"1354","6"
"1355","0"
"1356","12"
"1357","5"
"1358","1"
"1359","0"
"1360","0"
"1361","16"
"1362","25"
"1363","2"
"1364","3"
"1365","22"
"1366","14"
"1367","9"
"1368","2"
"1369","5"
"1370","0"
"1371","0"
"1372","5"
"1373","7"
"1374","6"
"1375","23"
"1376","17"
"1377","1"
"1378","22"
"1379","18"
"1380","1"
"1381","3"
"1382","7"
"1383","23"
"1384","4"
"1385","5"
"1386","6"
"1387","12"
"1388","3"
"1389","22"
"1390","26"
"1391","2"
"1392","2"
"1393","0"
"1394","0"
"1395","3"
"1396","35"
"1397","1"
"1398","1"
"1399","0"
"1400","14"
"1401","3"
"1402","2"
"1403","11"
"1404","18"
"1405","8"
"1406","0"
"1407","16"
"1408","7"
"1409","3"
"1410","3"
"1411","9"
"1412","5"
"1413","16"
"1414","4"
"1415","25"
"1416","5"
"1417","9"
"1418","13"
"1419","17"
"1420","2"
"1421","2"
"1422","10"
"1423","19"
"1424","1"
"1425","23"
"1426","3"
"1427","0"
"1428","4"
"1429","13"
"1430","12"
"1431","1"
"1432","2"
"1433","4"
"1434","4"
"1435","4"
"1436","8"
"1437","4"
"1438","7"
"1439","3"
"1440","15"
"1441","5"
"1442","12"
"1443","3"
"1444","2"
"1445","18"
"1446","1"
"1447","1"
"1448","3"
"1449","5"
"1450","1"
"1451","1"
"1452","6"
"1453","25"
"1454","1"
"1455","4"
"1456","1"
"1457","7"
"1458","8"
"1459","0"
"1460","4"
"1461","1"
"1462","6"
"1463","3"
"1464","2"
"1465","1"
"1466","0"
"1467","28"
"1468","22"
"1469","21"
"1470","15"
"1471","0"
"1472","0"
"1473","12"
"1474","1"
"1475","1"
"1476","2"
"1477","11"
"1478","7"
"1479","13"
"1480","14"
"1481","1"
"1482","10"
"1483","15"
"1484","12"
"1485","3"
"1486","1"
"1487","0"
"1488","6"
"1489","2"
"1490","4"
"1491","0"
"1492","8"
"1493","4"
"1494","8"
"1495","4"
"1496","8"
"1497","0"
"1498","2"
"1499","10"
"1500","13"
"1501","1"
"1502","0"
"1503","1"
"1504","1"
"1505","1"
"1506","5"
"1507","0"
"1508","4"
"1509","0"
"1510","3"
"1511","1"
"1512","5"
"1513","3"
"1514","0"
"1515","1"
"1516","6"
"1517","3"
"1518","4"
"1519","8"
"1520","4"
"1521","13"
"1522","0"
"1523","2"
"1524","0"
"1525","24"
"1526","1"
"1527","15"
"1528","1"
"1529","7"
"1530","5"
"1531","15"
"1532","18"
"1533","0"
"1534","4"
"1535","29"
"1536","8"
"1537","5"
"1538","26"
"1539","1"
"1540","19"
"1541","10"
"1542","6"
"1543","2"
"1544","1"
"1545","0"
"1546","0"
"1547","18"
"1548","0"
"1549","1"
"1550","6"
"1551","8"
"1552","8"
"1553","15"
"1554","0"
"1555","3"
"1556","0"
"1557","21"
"1558","2"
"1559","2"
"1560","4"
"1561","0"
"1562","0"
"1563","0"
"1564","31"
"1565","3"
"1566","3"
"1567","10"
"1568","7"
"1569","14"
"1570","10"
"1571","1"
"1572","0"
"1573","1"
"1574","6"
"1575","1"
"1576","6"
"1577","15"
"1578","1"
"1579","2"
"1580","24"
"1581","23"
"1582","18"
"1583","4"
"1584","6"
"1585","6"
"1586","4"
"1587","11"
"1588","2"
"1589","1"
"1590","3"
"1591","2"
"1592","4"
"1593","2"
"1594","2"
"1595","28"
"1596","6"
"1597","15"
"1598","15"
"1599","2"
"1600","18"
"1601","2"
"1602","8"
"1603","0"
"1604","1"
"1605","13"
"1606","9"
"1607","9"
"1608","3"
"1609","1"
"1610","18"
"1611","1"
"1612","6"
"1613","12"
"1614","3"
"1615","27"
"1616","24"
"1617","21"
"1618","8"
"1619","9"
"1620","20"
"1621","6"
"1622","12"
"1623","1"
"1624","8"
"1625","1"
"1626","9"
"1627","18"
"1628","1"
"1629","1"
"1630","15"
"1631","26"
"1632","21"
"1633","0"
"1634","7"
"1635","28"
"1636","16"
"1637","31"
"1638","2"
"1639","21"
"1640","7"
"1641","5"
"1642","3"
"1643","13"
"1644","5"
"1645","1"
"1646","8"
"1647","5"
"1648","0"
"1649","0"
"1650","22"
"1651","14"
"1652","2"
"1653","3"
"1654","3"
"1655","17"
"1656","23"
"1657","12"
"1658","8"
"1659","12"
"1660","27"
"1661","1"
"1662","6"
"1663","1"
"1664","4"
"1665","12"
"1666","5"
"1667","12"
"1668","3"
"1669","1"
"1670","0"
"1671","2"
"1672","12"
"1673","3"
"1674","8"
"1675","5"
"1676","2"
"1677","19"
"1678","8"
"1679","1"
"1680","11"
"1681","12"
"1682","0"
"1683","3"
"1684","8"
"1685","10"
"1686","1"
"1687","5"
"1688","3"
"1689","3"
"1690","1"
"1691","2"
"1692","1"
"1693","1"
"1694","2"
"1695","10"
"1696","3"
"1697","0"
"1698","4"
"1699","0"
"1700","7"
"1701","8"
"1702","2"
"1703","6"
"1704","0"
"1705","4"
"1706","2"
"1707","17"
"1708","2"
"1709","1"
"1710","9"
"1711","11"
"1712","15"
"1713","14"
"1714","27"
"1715","7"
"1716","15"
"1717","20"
"1718","0"
"1719","1"
"1720","2"
"1721","7"
"1722","7"
"1723","6"
"1724","2"
"1725","13"
"1726","3"
"1727","8"
"1728","19"
"1729","6"
"1730","8"
"1731","3"
"1732","15"
"1733","0"
"1734","0"
"1735","2"
"1736","27"
"1737","4"
"1738","0"
"1739","16"
"1740","5"
"1741","4"
"1742","7"
"1743","1"
"1744","2"
"1745","0"
"1746","2"
"1747","2"
"1748","1"
"1749","24"
"1750","8"
"1751","0"
"1752","18"
"1753","1"
"1754","5"
"1755","2"
"1756","30"
"1757","1"
"1758","4"
"1759","15"
"1760","5"
"1761","0"
"1762","2"
"1763","22"
"1764","6"
"1765","0"
"1766","1"
"1767","5"
"1768","3"
"1769","5"
"1770","14"
"1771","9"
"1772","24"
"1773","21"
"1774","5"
"1775","7"
"1776","3"
"1777","13"
"1778","9"
"1779","3"
"1780","5"
"1781","23"
"1782","14"
"1783","3"
"1784","4"
"1785","1"
"1786","17"
"1787","4"
"1788","28"
"1789","12"
"1790","3"
"1791","10"
"1792","2"
"1793","7"
"1794","21"
"1795","1"
"1796","3"
"1797","6"
"1798","6"
"1799","1"
"1800","5"
"1801","13"
"1802","9"
"1803","3"
"1804","10"
"1805","1"
"1806","0"
"1807","1"
"1808","12"
"1809","15"
"1810","2"
"1811","21"
"1812","5"
"1813","1"
"1814","0"
"1815","4"
"1816","17"
"1817","0"
"1818","0"
"1819","6"
"1820","0"
"1821","3"
"1822","1"
"1823","9"
"1824","11"
"1825","12"
"1826","1"
"1827","13"
"1828","4"
"1829","7"
"1830","9"
"1831","2"
"1832","16"
"1833","0"
"1834","12"
"1835","3"
"1836","0"
"1837","7"
"1838","3"
"1839","2"
"1840","19"
"1841","4"
"1842","10"
"1843","10"
"1844","5"
"1845","1"
"1846","4"
"1847","17"
"1848","1"
"1849","12"
"1850","0"
"1851","19"
"1852","2"
"1853","13"
"1854","0"
"1855","9"
"1856","0"
"1857","0"
"1858","24"
"1859","24"
"1860","25"
"1861","2"
"1862","18"
"1863","1"
"1864","1"
"1865","5"
"1866","14"
"1867","0"
"1868","5"
"1869","2"
"1870","1"
"1871","17"
"1872","18"
"1873","19"
"1874","10"
"1875","5"
"1876","24"
"1877","0"
"1878","27"
"1879","4"
"1880","4"
"1881","0"
"1882","0"
"1883","12"
"1884","7"
"1885","38"
"1886","25"
"1887","6"
"1888","3"
"1889","4"
"1890","1"
"1891","12"
"1892","5"
"1893","8"
"1894","0"
"1895","3"
"1896","2"
"1897","10"
"1898","5"
"1899","5"
"1900","5"
"1901","5"
"1902","0"
"1903","2"
"1904","18"
"1905","12"
"1906","6"
"1907","6"
"1908","6"
"1909","13"
"1910","12"
"1911","1"
"1912","5"
"1913","0"
"1914","32"
"1915","3"
"1916","3"
"1917","2"
"1918","9"
"1919","9"
"1920","2"
"1921","0"
"1922","23"
"1923","18"
"1924","15"
"1925","6"
"1926","0"
"1927","8"
"1928","2"
"1929","3"
"1930","8"
"1931","1"
"1932","2"
"1933","15"
"1934","2"
"1935","15"
"1936","2"
"1937","7"
"1938","12"
"1939","1"
"1940","2"
"1941","1"
"1942","2"
"1943","2"
"1944","13"
"1945","9"
"1946","2"
"1947","27"
"1948","8"
"1949","0"
"1950","6"
"1951","11"
"1952","1"
"1953","1"
"1954","4"
"1955","12"
"1956","22"
"1957","1"
"1958","9"
"1959","0"
"1960","2"
"1961","11"
"1962","0"
"1963","3"
"1964","10"
"1965","10"
"1966","14"
"1967","35"
"1968","1"
"1969","10"
"1970","7"
"1971","17"
"1972","24"
"1973","17"
"1974","6"
"1975","1"
"1976","0"
"1977","1"
"1978","2"
"1979","17"
"1980","5"
"1981","6"
"1982","4"
"1983","2"
"1984","2"
"1985","1"
"1986","6"
"1987","1"
"1988","9"
"1989","0"
"1990","8"
"1991","22"
"1992","10"
"1993","20"
"1994","7"
"1995","3"
"1996","8"
"1997","31"
"1998","3"
"1999","14"
"2000","4"
"2001","25"
"2002","4"
"2003","4"
"2004","7"
"2005","0"
"2006","0"
"2007","0"
"2008","0"
"2009","32"
"2010","6"
"2011","27"
"2012","5"
"2013","9"
"2014","7"
"2015","15"
"2016","32"
"2017","19"
"2018","2"
"2019","4"
"2020","4"
"2021","22"
"2022","1"
"2023","2"
"2024","5"
"2025","2"
"2026","3"
"2027","18"
"2028","11"
"2029","1"
"2030","6"
"2031","5"
"2032","12"
"2033","3"
"2034","12"
"2035","17"
"2036","1"
"2037","10"
"2038","5"
"2039","24"
"2040","6"
"2041","0"
"2042","7"
"2043","2"
"2044","0"
"2045","6"
"2046","0"
"2047","11"
"2048","0"
"2049","1"
"2050","35"
"2051","4"
"2052","0"
"2053","1"
"2054","10"
"2055","2"
"2056","29"
"2057","16"
"2058","2"
"2059","5"
"2060","30"
"2061","1"
"2062","10"
"2063","4"
"2064","27"
"2065","5"
"2066","12"
"2067","1"
"2068","27"
"2069","2"
"2070","5"
"2071","2"
"2072","31"
"2073","0"
"2074","3"
"2075","27"
"2076","29"
"2077","10"
"2078","0"
"2079","3"
"2080","14"
"2081","0"
"2082","14"
"2083","12"
"2084","3"
"2085","0"
"2086","0"
"2087","1"
"2088","0"
"2089","1"
"2090","0"
"2091","3"
"2092","1"
"2093","9"
"2094","5"
"2095","8"
"2096","2"
"2097","0"
"2098","0"
"2099","4"
"2100","31"
"2101","12"
"2102","5"
"2103","0"
"2104","18"
"2105","1"
"2106","4"
"2107","5"
"2108","2"
"2109","3"
"2110","19"
"2111","2"
"2112","3"
"2113","3"
"2114","21"
"2115","4"
"2116","1"
"2117","0"
"2118","2"
"2119","6"
"2120","10"
"2121","0"
"2122","33"
"2123","0"
"2124","3"
"2125","4"
"2126","20"
"2127","8"
"2128","4"
"2129","1"
"2130","0"
"2131","14"
"2132","5"
"2133","23"
"2134","8"
"2135","18"
"2136","0"
"2137","9"
"2138","20"
"2139","16"
"2140","1"
"2141","1"
